, State-gov, Adm-clerical
, Federal-gov, Adm-clerical
, Local-gov, Adm-clerical
, Private, Adm-clerical
, Self-emp-inc, Adm-clerical
, Self-emp-not-inc, Adm-clerical
, Without-pay, Adm-clerical
, Federal-gov, Armed-Forces
, Federal-gov, Craft-repair
, Local-gov, Craft-repair
, Private, Craft-repair
, Self-emp-inc, Craft-repair
, Self-emp-not-inc, Craft-repair
, State-gov, Craft-repair
, Without-pay, Craft-repair
, Federal-gov, Exec-managerial
, Local-gov, Exec-managerial
, Private, Exec-managerial
, Self-emp-inc, Exec-managerial
, Self-emp-not-inc, Exec-managerial
, State-gov, Exec-managerial
, Federal-gov, Farming-fishing
, Local-gov, Farming-fishing
, Private, Farming-fishing
, Self-emp-inc, Farming-fishing
, Self-emp-not-inc, Farming-fishing
, State-gov, Farming-fishing
, Without-pay, Farming-fishing
, Federal-gov, Handlers-cleaners
, Local-gov, Handlers-cleaners
, Private, Handlers-cleaners
, Self-emp-inc, Handlers-cleaners
, Self-emp-not-inc, Handlers-cleaners
, State-gov, Handlers-cleaners
, Without-pay, Handlers-cleaners
, Federal-gov, Machine-op-inspct
, Local-gov, Machine-op-inspct
, Private, Machine-op-inspct
, Self-emp-inc, Machine-op-inspct
, Self-emp-not-inc, Machine-op-inspct
, State-gov, Machine-op-inspct
, Without-pay, Machine-op-inspct
, Federal-gov, Other-service
, Local-gov, Other-service
, Private, Other-service
, Self-emp-inc, Other-service
, Self-emp-not-inc, Other-service
, State-gov, Other-service
, Without-pay, Other-service
, Private, Priv-house-serv
, Federal-gov, Prof-specialty
, Local-gov, Prof-specialty
, Private, Prof-specialty
, Self-emp-inc, Prof-specialty
, Self-emp-not-inc, Prof-specialty
, State-gov, Prof-specialty
, Federal-gov, Protective-serv
, Local-gov, Protective-serv
, Private, Protective-serv
, Self-emp-inc, Protective-serv
, Self-emp-not-inc, Protective-serv
, State-gov, Protective-serv
, Federal-gov, Sales
, Local-gov, Sales
, Private, Sales
, Self-emp-inc, Sales
, Self-emp-not-inc, Sales
, State-gov, Sales
, Federal-gov, Tech-support
, Local-gov, Tech-support
, Private, Tech-support
, Self-emp-inc, Tech-support
, Self-emp-not-inc, Tech-support
, State-gov, Tech-support
, Federal-gov, Transport-moving
, Local-gov, Transport-moving
, Private, Transport-moving
, Self-emp-inc, Transport-moving
, Self-emp-not-inc, Transport-moving
, State-gov, Transport-moving
, Without-pay, Transport-moving
