, United-States, White, Male
, Yugoslavia, White, Male
, Vietnam, White, Male
, Thailand, White, Male
, Taiwan, White, Male
, South, White, Male
, Scotland, White, Male
, Puerto-Rico, White, Male
, Portugal, White, Male
, Poland, White, Male
, Philippines, White, Male
, Peru, White, Male
, Outlying-US(Guam-USVI-etc), White, Male
, Nicaragua, White, Male
, Mexico, White, Male
, Japan, White, Male
, Jamaica, White, Male
, Italy, White, Male
, Ireland, White, Male
, Iran, White, Male
, India, White, Male
, Hungary, White, Male
, Hong, White, Male
, Honduras, White, Male
, Guatemala, White, Male
, Greece, White, Male
, Germany, White, Male
, France, White, Male
, England, White, Male
, El-Salvador, White, Male
, Ecuador, White, Male
, Dominican-Republic, White, Male
, Cuba, White, Male
, Columbia, White, Male
, China, White, Male
, Canada, White, Male
, United-States, Other, Male
, Puerto-Rico, Other, Male
, Peru, Other, Male
, Nicaragua, Other, Male
, Mexico, Other, Male
, Japan, Other, Male
, Iran, Other, Male
, India, Other, Male
, Guatemala, Other, Male
, El-Salvador, Other, Male
, Ecuador, Other, Male
, Dominican-Republic, Other, Male
, Cuba, Other, Male
, Columbia, Other, Male
, Canada, Other, Male
, United-States, Black, Male
, Trinadad&Tobago, Black, Male
, Puerto-Rico, Black, Male
, Philippines, Black, Male
, Outlying-US(Guam-USVI-etc), Black, Male
, Nicaragua, Black, Male
, Mexico, Black, Male
, Japan, Black, Male
, Jamaica, Black, Male
, India, Black, Male
, Haiti, Black, Male
, Germany, Black, Male
, England, Black, Male
, Dominican-Republic, Black, Male
, Cuba, Black, Male
, Vietnam, Asian-Pac-Islander, Male
, United-States, Asian-Pac-Islander, Male
, Trinadad&Tobago, Asian-Pac-Islander, Male
, Thailand, Asian-Pac-Islander, Male
, Taiwan, Asian-Pac-Islander, Male
, South, Asian-Pac-Islander, Male
, Puerto-Rico, Asian-Pac-Islander, Male
, Philippines, Asian-Pac-Islander, Male
, Mexico, Asian-Pac-Islander, Male
, Laos, Asian-Pac-Islander, Male
, Japan, Asian-Pac-Islander, Male
, Ireland, Asian-Pac-Islander, Male
, Iran, Asian-Pac-Islander, Male
, India, Asian-Pac-Islander, Male
, Hong, Asian-Pac-Islander, Male
, Germany, Asian-Pac-Islander, Male
, Dominican-Republic, Asian-Pac-Islander, Male
, China, Asian-Pac-Islander, Male
, Cambodia, Asian-Pac-Islander, Male
, United-States, Amer-Indian-Eskimo, Male
, Puerto-Rico, Amer-Indian-Eskimo, Male
, Philippines, Amer-Indian-Eskimo, Male
, Mexico, Amer-Indian-Eskimo, Male
, Hong, Amer-Indian-Eskimo, Male
, Germany, Amer-Indian-Eskimo, Male
, Yugoslavia, White, Female
, Vietnam, White, Female
, United-States, White, Female
, Thailand, White, Female
, Scotland, White, Female
, Puerto-Rico, White, Female
, Portugal, White, Female
, Poland, White, Female
, Peru, White, Female
, Outlying-US(Guam-USVI-etc), White, Female
, Nicaragua, White, Female
, Mexico, White, Female
, Japan, White, Female
, Jamaica, White, Female
, Italy, White, Female
, Ireland, White, Female
, Iran, White, Female
, India, White, Female
, Hungary, White, Female
, Hong, White, Female
, Honduras, White, Female
, Holand-Netherlands, White, Female
, Guatemala, White, Female
, Greece, White, Female
, Germany, White, Female
, France, White, Female
, England, White, Female
, El-Salvador, White, Female
, Ecuador, White, Female
, Dominican-Republic, White, Female
, Cuba, White, Female
, Columbia, White, Female
, China, White, Female
, Canada, White, Female
, United-States, Other, Female
, Trinadad&Tobago, Other, Female
, Puerto-Rico, Other, Female
, Nicaragua, Other, Female
, Mexico, Other, Female
, Jamaica, Other, Female
, Guatemala, Other, Female
, Germany, Other, Female
, El-Salvador, Other, Female
, Ecuador, Other, Female
, Dominican-Republic, Other, Female
, Cuba, Other, Female
, Columbia, Other, Female
, United-States, Black, Female
, Trinadad&Tobago, Black, Female
, Puerto-Rico, Black, Female
, Outlying-US(Guam-USVI-etc), Black, Female
, Japan, Black, Female
, Jamaica, Black, Female
, Honduras, Black, Female
, Haiti, Black, Female
, Germany, Black, Female
, France, Black, Female
, England, Black, Female
, El-Salvador, Black, Female
, Dominican-Republic, Black, Female
, Cuba, Black, Female
, Vietnam, Asian-Pac-Islander, Female
, United-States, Asian-Pac-Islander, Female
, Thailand, Asian-Pac-Islander, Female
, Taiwan, Asian-Pac-Islander, Female
, South, Asian-Pac-Islander, Female
, Portugal, Asian-Pac-Islander, Female
, Poland, Asian-Pac-Islander, Female
, Philippines, Asian-Pac-Islander, Female
, Laos, Asian-Pac-Islander, Female
, Japan, Asian-Pac-Islander, Female
, India, Asian-Pac-Islander, Female
, Hong, Asian-Pac-Islander, Female
, Haiti, Asian-Pac-Islander, Female
, Greece, Asian-Pac-Islander, Female
, England, Asian-Pac-Islander, Female
, China, Asian-Pac-Islander, Female
, Canada, Asian-Pac-Islander, Female
, Cambodia, Asian-Pac-Islander, Female
, United-States, Amer-Indian-Eskimo, Female
, South, Amer-Indian-Eskimo, Female
, Mexico, Amer-Indian-Eskimo, Female
, Columbia, Amer-Indian-Eskimo, Female
